Genus,Genus_species,Common_name,superfamily,IVSO,main_SO,calculation_main_SO,Main2,foraging_style
Presbytis,Presbytis_comata,Grizzled Langur,Cercopithecoidea,wp,MF,0.555555556,MF,groups
Presbytis,Presbytis_frontata,White-fronted Langur,Cercopithecoidea,none,MF,1,MF,groups
Presbytis,Presbytis_hosei,Hose's Langur,Cercopithecoidea,both,MF,0.666666667,MF,groups
Presbytis,Presbytis_melalophos,Banded Langur,Cercopithecoidea,wp,MFF,0.666666667,MFF,groups
Presbytis,Presbytis_natunae,Natuna Leaf Monkey,Cercopithecoidea,wp,MF,0.5,MFF,groups
Presbytis,Presbytis_potenziani,Mentawai Island Langur,Cercopithecoidea,bp,MF,0.928571429,MF,groups
Presbytis,Presbytis_rubicunda,Red/Maroon Langur,Cercopithecoidea,none,MFF,1,MFF,groups
Presbytis,Presbytis_thomasi,Thomas' Langur,Cercopithecoidea,wp,MFF,0.966666667,MFF,groups
Procolobus,Procolobus_verus,Olive Colobus,Cercopithecoidea,both,MFF,0.466666667,MFF,groups
Prolemur,Prolemur_simus,Greater Bamboo Lemur,Lemuroidea,wp,MFF,0.5,FFMM,groups
Propithecus,Propithecus_edwardsi,Milne-Edwards' Sifaka,Lemuroidea,wp,FFMM,0.296296296,FFMM,groups
Propithecus,Propithecus_perrieri,Perrier's Sifaka,Lemuroidea,wp,MFF,0.5,FMM,groups
Propithecus,Propithecus_verreauxi,Verreaux's Sifaka,Lemuroidea,both,FFMM,0.512,FFMM,groups
Pygathrix,Pygathrix_nemaeus,Red Shanked Douc,Cercopithecoidea,both,FFMM,0.666666667,FFMM,groups
Pygathrix,Pygathrix_nigripes,Black Shanked Douc,Cercopithecoidea,wp,FFMM,0.666666667,FFMM,groups
Rhinopithecus,Rhinopithecus_avunculus,Tonkin Snub-Nosed Monkey,Cercopithecoidea,wp,MFF,0.571428571,MFF,groups
Rhinopithecus,Rhinopithecus_bieti,Yunnan/Black-and-White Snub-Nosed Langur,Cercopithecoidea,bp,MFF,0.930693069,MFF,groups
Rhinopithecus,Rhinopithecus_brelichi,Gray Snub-Nosed Monkey,Cercopithecoidea,wp,MFF,0.866666667,MFF,groups
Rhinopithecus,Rhinopithecus_roxellana,Golden Snub-Nosed Monkey,Cercopithecoidea,wp,MFF,0.979591837,MFF,groups
Rhinopithecus,Rhinopithecus_strykeri,Burmese Snub-Nosed Monkey,Cercopithecoidea,wp,MFF,0.625,MFF,groups
Rungwecebus,Rungwecebus_kipunji,Kipunji/Highland Mangabey,Cercopithecoidea,none,FFMM,1,FFMM,groups
Leontocebus,Leontocebus_nigricollis,Brown Mantled Tamarin,Ceboidea,both,FMM,0.282608696,FMM,groups
Saguinus,Saguinus_imperator,Emperor Tamarin,Ceboidea,wp,MFF,0.5,FFMM,groups
Saguinus,Saguinus_labiatus,Red-bellied Tamarin,Ceboidea,bp,FMM,0.555555556,FMM,groups
Saguinus,Saguinus_mystax,Mustached Tamarin,Ceboidea,both,FFMM,0.619047619,FFMM,groups
Leontocebus,Leontocebus_nigricollis,Black Mantled Tamarin,Ceboidea,wp,MF,0.875,MF,groups
Saguinus,Saguinus_oedipus,Cotton-top Tamarin,Ceboidea,wp,FFMM,0.894736842,FFMM,groups
Saimiri,Saimiri_sciureus,Guianan Squirrel Monkey,Ceboidea,none,FFMM,1,FFMM,groups
Sapajus,Sapajus_apella,Cuianan Brown Capuchin,Ceboidea,both,FFMM,0.714285714,FFMM,groups
Sapajus,Sapajus_cay,Hooded Capuchin,Ceboidea,none,FFMM,1,FFMM,groups
Sapajus,Sapajus_flavius,Blond Capuchin,Ceboidea,none,FFMM,1,FFMM,groups
Sapajus,Sapajus_libidinosus,Bearded Capuchin,Ceboidea,none,FFMM,1,FFMM,groups
Sapajus,Sapajus_nigritus,Black-horned Capuchin,Ceboidea,both,FFMM,0.642857143,FFMM,groups
Semnopithecus,Semnopithecus_ajax,Himalayan/Kashmir Grey Langur,Cercopithecoidea,wp,FFMM,0.769230769,FFMM,groups
Semnopithecus,Semnopithecus_entellus,Hanuman/Northern Plain Grey Langur,Cercopithecoidea,both,MFF,0.657142857,MFF,groups
Semnopithecus,Semnopithecus_hypoleucos,Black-Footed Grey Langur / Malabar Sacred Langur,Cercopithecoidea,none,MFF,1,MFF,groups
Semnopithecus,Semnopithecus_schistaceus,Nepal Grey langur,Cercopithecoidea,wp,FFMM,0.833333333,FFMM,groups
Simias,Simias_concolor,Pig-tailed Langur / Simakobu Monkey,Cercopithecoidea,both,MFF,0.666666667,MFF,NA
