vertlife species,original names,updated names,present in tree,changed names
Anotomys leander,Bunopithecus_hoolock,Hoolock hoolock,TRUE,Hoolock_hoolock
Anoura canishina,Bunopithecus_hoolock,Hoolock hoolock,TRUE,Hoolock_hoolock
Anoura caudifer,Hylobates_agilis,Hylobates agilis,TRUE,Hylobates_agilis
Anoura cultrata,Hylobates_agilis,Hylobates agilis,TRUE,Hylobates_agilis
Anoura fistulata,Hylobates_agilis,Hylobates agilis,TRUE,Hylobates_agilis
Anoura geoffroyi,Hylobates_agilis,Hylobates agilis,TRUE,Hylobates_agilis
Anoura latidens,Hylobates_muelleri,Hylobates muelleri,TRUE,Hylobates_muelleri
Anoura luismanueli,Hylobates_klossii,Hylobates klossii,TRUE,Hylobates_klossii
Anourosorex assamensis,Hylobates_lar,Hylobates lar,TRUE,Hylobates_lar
Anourosorex schmidi,Hylobates_lar,Hylobates lar,TRUE,Hylobates_lar
Anourosorex squamipes,Hylobates_lar,Hylobates lar,TRUE,Hylobates_lar
Anourosorex yamashinai,Hylobates_moloch,Hylobates moloch,TRUE,Hylobates_moloch
Antechinomys laniger,Hylobates_moloch,Hylobates moloch,TRUE,Hylobates_moloch
Antechinus adustus,Hylobates_muelleri,Hylobates muelleri,TRUE,Hylobates_muelleri
Antechinus agilis,Hylobates_muelleri,Hylobates muelleri,TRUE,Hylobates_muelleri
Antechinus argentus,Hylobates_pileatus,Hylobates pileatus,TRUE,Hylobates_pileatus
Antechinus arktos,Hylobates_pileatus,Hylobates pileatus,TRUE,Hylobates_pileatus
Antechinus bellus,Hylobates_pileatus,Hylobates pileatus,TRUE,Hylobates_pileatus
Antechinus flavipes,Indri_indri,Indri indri,TRUE,Indri_indri
Antechinus godmani,Indri_indri,Indri indri,TRUE,Indri_indri
Antechinus leo,Lagothrix_flavicauda,Oreonax flavicauda,TRUE,Oreonax_flavicauda
Antechinus minimus,Lagothrix_lagotricha,Lagothrix lagotricha,TRUE,Lagothrix_lagotricha
Antechinus mysticus,Lagothrix_lagotricha,Lagothrix lagotricha,TRUE,Lagothrix_lagotricha
Antechinus stuartii,Lagothrix_lagotricha,Lagothrix lagotricha,TRUE,Lagothrix_lagotricha
Antechinus subtropicus,Lagothrix_poeppigii,Lagothrix poeppigii,TRUE,Lagothrix_poeppigii
Antechinus swainsonii,Lagothrix_poeppigii,Lagothrix poeppigii,TRUE,Lagothrix_poeppigii
Antechinus vandycki,Lemur_catta,Lemur catta,TRUE,Lemur_catta
Anthops ornatus,Lemur_catta,Lemur catta,TRUE,Lemur_catta
Antidorcas marsupialis,Leontopithecus_caissara,Leontopithecus caissara,TRUE,Leontopithecus_caissara
Antilocapra americana,Leontopithecus_caissara,Leontopithecus caissara,TRUE,Leontopithecus_caissara
Antilope cervicapra,Leontopithecus_chrysopygus,Leontopithecus chrysopygus,TRUE,Leontopithecus_chrysopygus
Antrozous pallidus,Leontopithecus_chrysopygus,Leontopithecus chrysopygus,TRUE,Leontopithecus_chrysopygus
Aonyx capensis,Leontopithecus_rosalia,Leontopithecus rosalia,TRUE,Leontopithecus_rosalia
Aonyx cinerea,Leontopithecus_rosalia,Leontopithecus rosalia,TRUE,Leontopithecus_rosalia
Aonyx congicus,Leontopithecus_rosalia,Leontopithecus rosalia,TRUE,Leontopithecus_rosalia
Aotus azarae,Lepilemur_edwardsi,Lepilemur edwardsi,TRUE,Lepilemur_edwardsi
Aotus brumbacki,Lepilemur_edwardsi,Lepilemur edwardsi,TRUE,Lepilemur_edwardsi
Aotus griseimembra,Lepilemur_leucopus,Lepilemur leucopus,TRUE,Lepilemur_leucopus
Aotus jorgehernandezi,Lepilemur_mustelinus,Lepilemur mustelinus,TRUE,Lepilemur_mustelinus
Aotus lemurinus,Lepilemur_ruficaudatus,Lepilemur ruficaudatus,TRUE,Lepilemur_ruficaudatus
Aotus miconax,Lophocebus_albigena,Lophocebus albigena,TRUE,Lophocebus_albigena
Aotus nancymaae,Lophocebus_albigena,Lophocebus albigena,TRUE,Lophocebus_albigena
Aotus nigriceps,Loris_lydekkerianus,Loris lydekkerianus,TRUE,Loris_lydekkerianus
Aotus trivirgatus,Loris_lydekkerianus,Loris lydekkerianus,TRUE,Loris_lydekkerianus
Aotus vociferans,Macaca_arctoides,Macaca arctoides,TRUE,Macaca_arctoides
Aotus zonalis,Macaca_arctoides,Macaca arctoides,TRUE,Macaca_arctoides
Aplodontia rufa,Macaca_assamensis,Macaca assamensis,TRUE,Macaca_assamensis
Apodemus agrarius,Macaca_assamensis,Macaca assamensis,TRUE,Macaca_assamensis
Apodemus alpicola,Macaca_assamensis,Macaca assamensis,TRUE,Macaca_assamensis
Apodemus argenteus,Macaca_assamensis,Macaca assamensis,TRUE,Macaca_assamensis
Apodemus chevrieri,Macaca_cyclopis,Macaca cyclopis,TRUE,Macaca_cyclopis
Apodemus draco,Macaca_cyclopis,Macaca cyclopis,TRUE,Macaca_cyclopis
Apodemus epimelas,Macaca_fascicularis,Macaca fascicularis,TRUE,Macaca_fascicularis
Apodemus flavicollis,Macaca_fascicularis,Macaca fascicularis,TRUE,Macaca_fascicularis
Apodemus gurkha,Macaca_fascicularis,Macaca fascicularis,TRUE,Macaca_fascicularis
Apodemus hyrcanicus,Macaca_fascicularis,Macaca fascicularis,TRUE,Macaca_fascicularis
Apodemus latronum,Macaca_fascicularis,Macaca fascicularis,TRUE,Macaca_fascicularis
Apodemus mystacinus,Macaca_fascicularis,Macaca fascicularis,TRUE,Macaca_fascicularis
Apodemus pallipes,Macaca_fascicularis,Macaca fascicularis,TRUE,Macaca_fascicularis
Apodemus peninsulae,Macaca_fascicularis,Macaca fascicularis,TRUE,Macaca_fascicularis
Apodemus ponticus,Macaca_fascicularis,Macaca fascicularis,TRUE,Macaca_fascicularis
Apodemus rusiges,Macaca_fascicularis,Macaca fascicularis,TRUE,Macaca_fascicularis
Apodemus semotus,Macaca_fuscata,Macaca fuscata,TRUE,Macaca_fuscata
Apodemus speciosus,Macaca_fuscata,Macaca fuscata,TRUE,Macaca_fuscata
Apodemus sylvaticus,Macaca_fuscata,Macaca fuscata,TRUE,Macaca_fuscata
Apodemus uralensis,Macaca_fuscata,Macaca fuscata,TRUE,Macaca_fuscata
Apodemus witherbyi,Macaca_fuscata,Macaca fuscata,TRUE,Macaca_fuscata
Apomys abrae,Macaca_leonina,Macaca leonina,TRUE,Macaca_leonina
Apomys aurorae,Macaca_leonina,Macaca leonina,TRUE,Macaca_leonina
Apomys banahao,Macaca_maura,Macaca maura,TRUE,Macaca_maura
Apomys brownorum,Macaca_maura,Macaca maura,TRUE,Macaca_maura
Apomys camiguinensis,Macaca_mulatta,Macaca mulatta,TRUE,Macaca_mulatta
Apomys datae,Macaca_mulatta,Macaca mulatta,TRUE,Macaca_mulatta
Apomys gracilirostris,Macaca_mulatta,Macaca mulatta,TRUE,Macaca_mulatta
Apomys hylocetes,Macaca_mulatta,Macaca mulatta,TRUE,Macaca_mulatta
Apomys insignis,Macaca_mulatta,Macaca mulatta,TRUE,Macaca_mulatta
Apomys iridensis,Macaca_mulatta,Macaca mulatta,TRUE,Macaca_mulatta
Apomys littoralis,Macaca_mulatta,Macaca mulatta,TRUE,Macaca_mulatta
Apomys lubangensis,Macaca_mulatta,Macaca mulatta,TRUE,Macaca_mulatta
Apomys magnus,Macaca_mulatta,Macaca mulatta,TRUE,Macaca_mulatta
Apomys microdon,Macaca_mulatta,Macaca mulatta,TRUE,Macaca_mulatta
Apomys minganensis,Macaca_munzala,Macaca munzala,TRUE,Macaca_munzala
Apomys musculus,Macaca_munzala,Macaca munzala,TRUE,Macaca_munzala
Apomys sacobianus,Macaca_munzala,Macaca munzala,TRUE,Macaca_munzala
Apomys sierrae,Macaca_munzala,Macaca munzala,TRUE,Macaca_munzala
Apomys zambalensis,Macaca_nemestrina,Macaca nemestrina,TRUE,Macaca_nemestrina
Aproteles bulmerae,Macaca_nemestrina,Macaca nemestrina,TRUE,Macaca_nemestrina
Arabitragus jayakari,Macaca_nigra,Macaca nigra,TRUE,Macaca_nigra
Arborimus albipes,Macaca_radiata,Macaca radiata,TRUE,Macaca_radiata
Arborimus longicaudus,Macaca_radiata,Macaca radiata,TRUE,Macaca_radiata
Arborimus pomo,Macaca_radiata,Macaca radiata,TRUE,Macaca_radiata
Archaeolemur edwardsi,Macaca_radiata,Macaca radiata,TRUE,Macaca_radiata
Archaeolemur majori,Macaca_radiata,Macaca radiata,TRUE,Macaca_radiata
Archboldomys luzonensis,Macaca_radiata,Macaca radiata,TRUE,Macaca_radiata
Archboldomys maximus,Macaca_radiata,Macaca radiata,TRUE,Macaca_radiata
Arctictis binturong,Macaca_radiata,Macaca radiata,TRUE,Macaca_radiata
Arctocebus aureus,Macaca_radiata,Macaca radiata,TRUE,Macaca_radiata
Arctocebus calabarensis,Macaca_nemestrina_siberu,Macaca nemestrina,TRUE,Macaca_nemestrina
Arctocephalus australis,Macaca_silenus,Macaca silenus,TRUE,Macaca_silenus
Arctocephalus forsteri,Macaca_silenus,Macaca silenus,TRUE,Macaca_silenus
