sp.pop,Genus_species,Genus,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_Rowe,mean_Female_Rowe,mean_other_Rowe,sd_Male_Rowe,sd_Female_Rowe,sd_other_Rowe,mean_Fruits_rowe,mean_Seeds_rowe,mean_Leaves_rowe,mean_Flowers_rowe,mean_Animal_rowe,sd_Fruits_rowe,sd_Seeds_rowe,sd_Leaves_rowe,sd_Flowers_rowe,sd_Animals_rowe
pop,Papio_cynocephalus,Papio,Yellow baboon,"Natal Drakensberg, South Africa",Grassland_Rocky,1,0,open,2,Diurnal, , , , , , , , , ,5, , , , , , , ,5,1,none,FFMM,1,groups,ff,none,T,23.43333333,11.1295, ,2.07926269,1.08965155, ,22.26666667,15.95,13.83333333,4.533333333,4.333333333,11.81707804,1.767766953,1.258305739,1.285820101,4.932882862
pop,Papio_cynocephalus,Papio,Yellow baboon,"Mikumi National Park, Tanzania",Wetland_Grassland_Woodland_Forest,1,1,both,4,Diurnal, , , , , , , ,1, ,2, , , , , , , ,3,2,wp,FFMM,0.666666667,groups,one,none,T,23.43333333,11.1295, ,2.07926269,1.08965155, ,22.26666667,15.95,13.83333333,4.533333333,4.333333333,11.81707804,1.767766953,1.258305739,1.285820101,4.932882862
pop,Papio_cynocephalus,Papio,Yellow baboon,"Amboseli National Park, Kenya",Grassland_Wetland_Savanna,1,1,both,3,Diurnal, , , , , , , ,2, ,12, , , , , , , ,14,10,wp,FFMM,0.857142857,groups,one,none,T,23.43333333,11.1295, ,2.07926269,1.08965155, ,22.26666667,15.95,13.83333333,4.533333333,4.333333333,11.81707804,1.767766953,1.258305739,1.285820101,4.932882862
pop,Papio_cynocephalus,Papio,Yellow baboon,"Ruhaha National Park, Tanzania",Savanna,1,0,open,1,Diurnal, , , , , , , , , ,5, , , , , , , ,5,2,none,FFMM,1,groups,one,none,T,23.43333333,11.1295, ,2.07926269,1.08965155, ,22.26666667,15.95,13.83333333,4.533333333,4.333333333,11.81707804,1.767766953,1.258305739,1.285820101,4.932882862
sp,Papio_hamadryas,Papio,Hamadryas baboon, ,Woodland_Rocky_Artificial_Savanna_Forest,1,1,both,3,Diurnal,27, , , , , , ,6, ,6, , , , , , ,6,12, ,both,MFF_FFMM,0.5,groups,ml,none,T,16.9,9.9, , , , , , , , , , , , , , 
pop,Papio_hamadryas,Papio,Hamadryas baboon,"Taif City, Saudi Arabia",Woodland_Rocky_Artificial,1,1,both,3,Diurnal, , , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,groups,ml,none,T,16.9,9.9, , , , , , , , , , , , , , 
pop,Papio_hamadryas,Papio,Hamadryas baboon,"Awash National Park, Filoha site, Ethiopia",Savanna_Forest,1,1,both,2,Diurnal,26, , , , , , ,4, ,4, , , , , , , ,8,4,wp,MFF_FFMM,0.5,groups,ml,none,T,16.9,9.9, , , , , , , , , , , , , , 
pop,Papio_hamadryas,Papio,Hamadryas baboon,Central Eritrea,Rocky,1,0,open,1,Diurnal,1, , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,groups,ml,none,T,16.9,9.9, , , , , , , , , , , , , , 
sp,Papio_kindae,Papio,Kinda baboon, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Papio_papio,Papio,Guinea baboon, ,Shrubland_Savanna_Forest_Grassland_Wetland_Rocky,1,1,both,4,Diurnal,16, , , , , , ,65, ,178,3,2,2, , ,1,8,245, ,wp,FFMM,0.726530612,groups,ml,none,T,23,12, , , , ,60,17, , ,1.2, , , , , 
pop,Papio_papio,Papio,Guinea baboon,"Niokolo Koba National Park, Senegal",Shrubland_Savanna_Forest_Grassland,1,1,both,4,Diurnal,16, , , , , , ,65, ,177,3,2,2, , ,1, ,244,5,wp,FFMM,0.725409836,groups,both,none,T,23,12, , , , ,60,17, , ,1.2, , , , , 
