Row,sp.pop,Genus_species,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,Main1,Main2,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_Galan,mean_Female_Galan,mean_other_Galan,sd_Male_Galan,sd_Female_Galan,sd_other_Galan,mean_Fruits_galan,mean_Seeds_galan,mean_Leaves_galan,mean_Flowers_galan,mean_Animal_galan,sd_Fruits_galan,sd_Seeds_galan,sd_Leaves_galan,sd_Flowers_galan,sd_Animals_galan,IVSO_prop,IVSOint,Superfamily,Order,Family,Genus
52,pop,Alouatta_seniculus,Colombian Red Howler Monkey,Petit Saut Electric Dam,Artificial_Forest,0,1,closed,2,Diurnal,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,none,MF,MF,1,groups,one,none,AR,6.66,5.18,6.01,NA,NA,0.127279221,42.3,NA,52.1,5.4,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
54,sp,Aotus_azarae,Azara's Night Monkey,cattle ranch Estancia Guaycolec, ,0,0,,NA,Cathemeral,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,1,none,MF,MF,1, ,one,none, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Cebidae,Aotus
55,pop,Aotus_azarae,Azara's Night Monkey,cattle ranch Estancia Guaycolec, ,0,0,,NA,Cathemeral,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,1,none,MF,MF,1, ,one,none, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Cebidae,Aotus
63,sp,Aotus_nigriceps,Black-headed Night Monkey, , ,0,0,,1,Nocturnal,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,none,MF,MF,1,groups,one,none,AR,0.875,1.04,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Cebidae,Aotus
64,pop,Aotus_nigriceps,Black-headed Night Monkey,"Manu Learning Centre, Peru",Forest,0,1,closed,1,Nocturnal,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,none,MF,MF,1,groups,one,none,AR,0.875,1.04,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Cebidae,Aotus
67,sp,Aotus_zonalis,Panamanian Night Monkey, ,Forest,0,1,closed,1,Nocturnal,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,NA,none,MF,MF,1,groups,one,none,AR,0.889,0.916,NA,NA,NA,NA,65,NA,30,NA,5,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Cebidae,Aotus
68,pop,Aotus_zonalis,Panamanian Night Monkey,"Campo Chagres, Panama",Forest,0,1,closed,1,Nocturnal,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,none,MF,MF,1,groups,one,none,AR,0.889,0.916,NA,NA,NA,NA,65,NA,30,NA,5,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Cebidae,Aotus
69,pop,Aotus_zonalis,Panamanian Night Monkey,"Cerro Azul, Panama",Forest,0,1,closed,1,Nocturnal,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,none,MF,MF,1,groups,one,none,AR,0.889,0.916,NA,NA,NA,NA,65,NA,30,NA,5,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Cebidae,Aotus
72,sp,Ateles_belzebuth,White-bellied Spider Monkey, ,Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,5,9,NA,none,FFMM,FFMM,1,groups, ,none,AR,8.26,7.88,NA,NA,NA,NA,78.5,NA,7.7,1.3,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Ateles
73,pop,Ateles_belzebuth,White-bellied Spider Monkey,"La Macarena, Columbia",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,3,none,FFMM,FFMM,1,groups, ,none,AR,8.26,7.88,NA,NA,NA,NA,78.5,NA,7.7,1.3,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Ateles
