rowid,dataset,rep,primateMRCA,model,DG,DP,G,P,S,tree
365,2,83,56,fitSYM,0,0,0.4232657111798891,0.5280841196374039,0.048650169182707106,Kuderna et al
366,2,83,68,fitSYM,0,0,0.03484925040643365,0.37630785808593786,0.5888428915076285,Olivier et al
367,2,84,56,fitSYM,0,0,0.42326571110310535,0.5280841197156849,0.048650169181209804,Kuderna et al
368,2,84,68,fitSYM,0,0,0.06522432275701323,0.30960000724962194,0.6251756699933648,Olivier et al
369,2,85,56,fitSYM,0,0,0.34435038527415063,0.5867904407514611,0.06885917397438823,Kuderna et al
370,2,85,68,fitSYM,0,0,0.020033756805876123,0.15022472810883744,0.8297415150852864,Olivier et al
371,2,86,56,fitSYM,0,0,0.5752324384153558,0.4147052826481733,0.010062278936470881,Kuderna et al
372,2,86,68,fitSYM,0,0,0.07858543844260131,0.37186167418804317,0.5495528873693555,Olivier et al
373,2,87,56,fitSYM,0,0,0.44906542687873413,0.4997409171355375,0.051193655985728344,Kuderna et al
374,2,87,68,fitSYM,0,0,0.012445037074856896,0.2093617260847153,0.7781932368404278,Olivier et al
375,2,88,56,fitSYM,0,0,0.40294200228691557,0.5238064333817765,0.07325156433130803,Kuderna et al
376,2,88,68,fitSYM,0,0,0.0753810186077071,0.2856963861295476,0.6389225952627453,Olivier et al
377,2,89,56,fitSYM,0,0,0.5752324382137024,0.41470528285912794,0.010062278927169719,Kuderna et al
378,2,89,68,fitSYM,0,0,0.02668960842975634,0.2298014266754808,0.7435089648947629,Olivier et al
379,2,90,56,fitSYM,0,0,0.5388722493229742,0.44960920232695,0.011518548350075779,Kuderna et al
380,2,90,68,fitSYM,0,0,0.020186952015598628,0.15087113065131966,0.8289419173330818,Olivier et al
381,2,91,56,fitSYM,0,0,0.42326571116615924,0.5280841196542997,0.04865016917954119,Kuderna et al
382,2,91,68,fitSYM,0,0,0.04812199493409748,0.34849292928052017,0.6033850757853824,Olivier et al
383,2,92,56,fitSYM,0,0,0.39444278760828927,0.5436103010195701,0.06194691137214072,Kuderna et al
384,2,92,68,fitSYM,0,0,0.015166244637665902,0.16905297500505947,0.8157807803572747,Olivier et al
385,2,93,56,fitSYM,0,0,0.39444278775315067,0.543610300824005,0.06194691142284436,Kuderna et al
386,2,93,68,fitSYM,0,0,0.06373471034852661,0.3040087299679205,0.632256559683553,Olivier et al
387,2,94,56,fitSYM,0,0,0.44906542668216265,0.4997409173502103,0.05119365596762711,Kuderna et al
388,2,94,68,fitSYM,0,0,0.07437221864520624,0.44154851705297,0.4840792643018238,Olivier et al
389,2,95,56,fitSYM,0,0,0.3443503850852989,0.586790439740549,0.068859175174151993,Kuderna et al
390,2,95,68,fitSYM,0,0,0.012495153138220451,0.1289964400465721,0.8585084068152075,Olivier et al
391,2,96,56,fitSYM,0,0,0.4181236033415646,0.5193197675032293,0.06255662915520606,Kuderna et al
392,2,96,68,fitSYM,0,0,0.07738728198991333,0.3157106105831712,0.6069021074269155,Olivier et al
393,2,97,56,fitSYM,0,0,0.3697218806209623,0.5717444695227814,0.058533649856256295,Kuderna et al
394,2,97,68,fitSYM,0,0,0.024479166116204747,0.14388038082305077,0.8316404530607445,Olivier et al
395,2,98,56,fitSYM,0,0,0.39726504881223385,0.5440463023988311,0.058688648788935094,Kuderna et al
396,2,98,68,fitSYM,0,0,0.05524583915573481,0.33632602143161966,0.6084281394126455,Olivier et al
397,2,99,56,fitSYM,0,0,0.3944427874874091,0.5436103011054078,0.0619469114071832,Kuderna et al
398,2,99,68,fitSYM,0,0,0.02112520908979257,0.15926352306560773,0.8196112678445997,Olivier et al
